id;name;article_A1;article_A2;article_A3;article_A4;article_B1;article_B2;article_B3;article_B4;guidance_d_c;guidance_m_c;patent;software;first_doc
37;Cecília Oliveira de Azevedo;0;0;0;0;1;0;0;1;0;0;0;0;2009
38;Reginaldo Conceição Cerqueira;0;0;0;0;0;0;1;0;0;0;0;0;2011
39;Cloud Kennedy Couto De Sá;0;0;1;0;3;2;3;0;0;0;0;0;2012
40;Rita de Cássia Souza Nascimento Ferraz;0;4;1;2;0;1;1;0;0;3;0;0;2011
41;Eliana Márcia dos Santos Carvalho;1;1;0;0;0;0;0;0;0;7;0;0;2014
42;Simone Santana da Silva;4;2;1;1;1;2;1;0;0;0;0;0;2019
43;Mariangela Vieira Lopes Silva;1;1;0;1;0;0;0;0;1;5;1;0;2005
44;Leda Regina de Jesus Couto;0;0;0;1;2;5;0;0;0;0;0;0;0
45;Roque Pinto da Silva Santos;0;3;1;1;4;4;0;0;0;0;0;0;2010
46;Erik Galvao Paranhos Da Silva;9;13;2;2;2;0;0;0;4;6;0;0;2009
47;Kamila Santos Barros;0;0;0;0;0;0;0;0;0;0;0;0;0
48;Marilete Calegari Cardoso;0;2;1;2;0;1;3;1;0;10;0;0;2018
49;Bruno Ferreira dos Santos;4;0;3;0;0;0;0;0;1;15;0;0;2010
50;Ticiana Grecco Zanon Moura;3;0;0;4;0;0;1;1;0;2;0;0;2019
51;Cristiane Soares Mendes;0;0;0;0;0;0;0;0;0;0;0;0;0
52;Ricardo Mazzon Sacheto;0;0;0;0;0;0;0;0;0;0;0;0;0
53;Geovani de Jesus Silva;0;0;0;0;0;0;0;0;0;3;0;0;2014
54;Juliana Alves Leite Leal;0;0;1;1;1;1;1;0;0;7;0;0;2016
55;Daelcio Ferreira Campos Mendonça;0;0;0;0;0;0;0;0;0;0;0;0;2013
56;Suely Santos Santana;0;0;0;0;0;0;0;0;0;0;0;0;2014
57;Célia Tanajura Machado;3;2;2;0;2;0;0;0;0;20;0;0;2007
58;Jaqueline dos Santos Cardoso;0;0;0;0;1;1;0;0;0;3;0;0;2012
59;Luci Mara Bertoni;0;1;8;0;1;1;0;0;5;14;0;0;2007
60;Andréa Dos Santos Souza;0;0;0;1;5;0;0;0;0;0;0;0;2015
61;Wagner De Oliveira Rodrigues;0;0;0;2;0;0;1;0;0;0;0;0;2018
62;Edinaldo Medeiros Carmo;3;3;9;0;1;1;0;1;2;17;0;0;2013
63;Ângelo Márcio Macedo Gonçalves;0;1;0;1;0;0;0;0;0;0;0;0;0
64;Fabíola Moura Reis Santos;0;0;1;0;1;0;0;1;0;0;0;0;2023
65;Márcio Oliveira D'Esquivel;0;0;0;0;0;0;0;0;0;0;0;0;2019
66;Suzi De Almeida Vasconcelos Barboni;0;0;0;0;2;0;0;1;0;0;0;0;2003
67;Genilson Cunha de Oliveira Filho;0;1;0;0;1;1;0;0;0;0;0;3;2019
68;Jefferson Correia da Conceição;0;0;0;1;2;2;0;0;0;0;0;0;2011
69;Derval Gomes Pereira;0;0;0;0;0;0;1;0;0;2;0;0;2001
70;Edilane Carvalho Teles;0;0;0;1;7;0;0;1;0;0;0;0;2020
71;Lucemario Xavier Batista;0;0;0;0;0;0;0;0;0;0;0;0;0
72;Charles Souza Santos;1;1;0;1;3;1;1;2;0;0;0;0;2019
73;Flávio de Oliveira Silva;0;0;1;0;0;0;0;0;0;0;0;0;2014
74;Solange Lucas Ribeiro;0;2;0;1;3;0;0;0;0;0;0;0;2011
75;Jaine Kareny da Silva Alves;0;1;1;0;6;1;0;0;0;0;0;0;2019
76;Cristina Luisa Conceição de Oliveira;0;1;0;0;0;0;1;0;0;3;0;0;2007
77;Freddy Ruben Bravo Quijano;1;1;0;10;1;5;0;7;2;6;0;0;1996
78;Pascoal Eron Santos De Souza;0;0;0;0;0;1;0;1;0;0;0;0;2023
79;Adelino Pereira dos Santos;0;1;1;1;2;1;2;2;0;15;0;0;2010
80;Igor Brasil de Araújo;0;0;0;0;0;0;0;0;0;0;0;0;2020
81;Lidineia Alves Cerqueira Barreiros;0;0;0;0;0;0;0;0;0;0;0;0;0
82;Jailson Braga Brandão;0;1;0;0;0;0;0;0;0;0;0;0;0
83;Cleusiane Vieira Silva;1;0;0;0;1;0;0;0;0;0;0;0;2015
84;Cristina Campos Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;0
85;Christiana Andrea Vianna Prudêncio;2;2;2;4;2;0;0;0;0;11;0;0;2013
86;Marco Tulio de Oliveira Valente;11;1;1;2;0;0;0;0;13;15;0;2;0
87;George Olavo Mattos e Silva;2;7;0;0;0;0;0;0;1;7;0;0;2010
88;Sonia Maria da Conceiçao Pinto;0;0;0;2;0;0;0;0;0;0;0;1;2015
89;Carmen Silvia Da Silva Sá;0;0;0;0;0;0;0;0;0;0;0;0;2012
90;Luciana Cristina Da Costa Audi;0;0;0;0;0;0;0;0;0;0;0;0;2019
91;Maria Dolores Ribeiro Orge;0;1;0;0;2;2;0;0;1;3;0;0;2005
92;Erenilde Marques de Cerqueira;1;0;0;0;1;0;0;0;0;10;0;0;2010
93;Marcel Rodrigo Cavallaro;0;0;0;0;0;0;0;0;0;0;0;0;2010
94;Marilza Neves do Nascimento;3;1;0;3;0;8;0;1;4;9;0;0;2010
95;Abraão Felix Da Penha;0;0;0;0;0;0;0;0;0;0;0;0;2014
96;Ninalva De Andrade Santos;0;0;0;0;0;2;0;0;0;0;0;0;2013
97;Rosana Santana Dos Reis;0;0;0;0;0;0;0;0;0;0;0;0;2021
98;Erminda Da Conceição Guerreiro Couto;0;4;3;2;1;1;0;0;2;22;0;0;1996
99;Maria Célia Santana Aguiar;0;1;0;0;0;0;0;0;0;0;0;0;2021
100;Geilsa Costa Santos Baptista;8;4;6;2;4;9;0;0;11;4;0;0;2011
101;Maria Helena De Barros Moraes Amorim;0;0;0;0;0;0;0;0;0;0;0;0;0
102;Karina Kfouri Sartori;0;0;0;0;0;0;0;0;0;2;0;0;2017
103;Márcia Carvalho Bessa;0;0;0;0;0;0;0;0;0;0;0;0;0
104;Jorge Costa do Nascimento;0;0;1;0;0;1;0;0;0;7;0;0;2003
105;Rui Barbosa Da Rocha;0;0;0;0;0;0;0;0;0;0;0;0;0
106;Arlicelio De Queiroz Paiva;0;4;1;2;2;0;1;0;3;5;0;0;2010
107;Rômulo Batista Vieira;0;0;0;1;0;2;0;0;0;0;0;0;2017
108;Ana Paula Trovatti Uetanabaro;7;12;6;5;3;0;3;0;16;17;2;0;2004
109;Marcia Sandra Fernandes Dos Santos Lima;0;0;0;0;1;0;0;0;0;0;0;0;0
110;José Lima De Menezes;0;0;0;0;0;0;0;0;0;0;0;0;0
111;Carlos Eduardo Magalhaes Batista;0;0;0;0;2;0;0;0;0;0;0;0;2010
112;Ediane Santos Caires;0;0;0;0;0;0;0;1;0;0;0;0;0
113;Vanda Palmarella Rodrigues;2;0;0;7;7;6;2;0;1;7;0;0;2015
114;Marluce Oliveira da Guarda Souza;0;0;2;2;0;0;0;1;0;12;0;0;2000
115;Ana Paula Penha Guedes;0;0;1;0;2;0;0;0;0;2;0;0;2010
116;Valéria Amim;0;1;1;5;2;1;0;0;0;5;0;0;2009
117;Cláudia Elena Carneiro;0;0;0;0;1;0;0;0;0;3;0;0;2003
118;Vanessa Santos Sampaio;0;2;2;2;0;0;0;0;0;0;0;0;2019
119;Katia Bomfim De Carvalho Guerreiro;0;0;0;0;0;0;0;0;0;0;0;0;0
120;Aldo José Morais Silva;0;1;2;0;1;0;0;0;0;8;0;0;2006
121;Ivaldo Marciano de França Lima;1;0;0;0;2;0;0;0;2;5;0;0;2010
122;Lourdes Cardoso de Souza Neta;1;2;3;3;0;0;0;1;0;7;0;0;2003
123;Ana Maria Carvalho dos Santos;0;0;0;1;0;0;0;0;0;8;0;0;2008
124;Jener Gonçalves De Farias;0;0;0;0;1;1;6;3;0;0;0;0;2004
125;Geraldo Jose Belmonte Dos Santos;0;0;1;0;0;2;0;0;0;0;0;0;2016
126;Rodrigo Camargo Aragão;4;0;1;4;0;1;2;0;1;17;0;0;2007
127;Patrícia Nicolau Magris;0;0;0;0;0;0;0;0;0;0;0;0;2020
128;Magali Teresópolis Reis Amaral;1;0;1;0;0;3;0;2;0;0;0;0;2018
129;Marileide Dias Saba;0;0;0;4;4;0;0;0;0;6;0;0;2007
130;Ana Paula Perovano;1;4;1;1;4;0;0;3;0;0;0;0;2022
131;Aldo Alfonso Raul Valcarce Bravo;3;0;0;0;0;0;0;0;0;0;0;0;2011
132;Adson Martins Meira;0;0;1;1;1;0;0;0;0;0;0;0;2015
133;Flávia Cristina Batista Caires;0;0;0;0;0;0;0;0;0;0;0;0;0
134;Fábio Pinto Gomes;0;1;2;0;0;2;0;1;4;8;0;0;2006
135;Jeovania Silva Do Carmo;0;0;0;0;0;0;0;0;0;0;0;0;2022
136;Ana Cristina Caribe Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;2010
137;Luiz Eduardo Simões De Burgos;0;0;0;0;0;0;0;0;0;0;0;0;2015
138;Flávia Moreira Mota e Mota;0;0;0;0;0;1;0;0;0;0;0;0;2022
139;Fernando Dos Santos Silva;1;0;0;0;1;0;0;1;0;4;0;0;2017
140;Luciana Araújo dos Reis;1;3;4;8;16;7;3;1;11;16;0;0;2010
141;Marcelo Dos Santos Da Silva;0;0;0;0;1;0;0;0;0;0;0;0;2022
142;Rosely Cabral de Carvalho;0;0;3;4;4;0;1;0;1;11;0;0;2003
143;Edite Lago Da Silva Sena;0;0;3;3;5;2;0;0;12;17;0;0;2006
144;Gléssia Carneiro Guimarães;0;0;0;0;0;0;0;2;0;0;0;0;0
145;Genigleide Santos da Hora;0;0;0;0;0;2;0;1;0;0;0;0;2020
146;Lígia Maria Portela Da Silva;0;0;0;0;0;0;0;0;0;0;0;0;0
147;Marilecia Oliveira Santos;0;0;0;0;1;0;0;0;0;11;0;0;2010
148;Fabio Nogueira De Oliveira;0;0;0;0;2;0;0;0;0;0;0;0;2015
149;Sérgio Siqueira Júnior;0;2;1;0;0;0;0;0;0;0;0;0;2008
150;Emanuel Brasilino De Santana;0;0;0;0;0;1;0;0;0;0;0;0;2013
151;Vamberto Ferreira Miranda Filho;0;1;1;1;0;0;1;0;0;0;0;0;2024
152;Rogério Mercês Ferreira Santos;0;0;0;2;3;0;0;1;0;0;0;0;2012
153;Rachel Passos Rezende;3;5;1;3;1;0;0;0;17;15;3;0;2001
154;Marco Antonio Araujo Silvany;0;2;0;0;0;1;0;6;0;0;0;0;0
155;Bethsaide Souza Santos;0;1;0;0;0;1;0;0;0;0;0;0;0
156;André Malvezzi Lopes;0;0;0;0;0;0;0;0;0;4;0;0;0
157;Juan Facundo Sarmiento;0;0;0;0;0;0;0;0;0;0;0;0;0
158;Moacir Da Silva Côrtes Junior;0;0;0;0;0;0;0;0;0;0;0;0;2022
159;Iranildes Almeida De Oliveira Lima;0;0;0;1;0;0;0;0;0;0;0;0;0
160;Nélia De Medeiros Sampaio;0;0;0;0;0;0;2;1;0;0;0;0;2017
161;Priscila Pereira Suzart De Carvalho;0;1;0;0;0;1;0;1;0;0;0;0;2021
162;Angélica Maria Lucchese;1;0;3;0;0;2;1;1;14;14;0;0;1997
163;Francisco Alfredo Morais Guimarães;0;0;0;0;0;0;0;0;0;9;0;0;2014
164;Aissa Cavalcante Lisboa;0;1;0;0;0;0;1;0;0;0;0;0;0
165;Jorge Viana Santos;0;2;1;1;0;4;0;0;0;10;0;4;2008
166;Gildson Queiroz De Jesus;1;0;1;1;0;0;2;1;0;11;0;0;2011
167;Célia Regina Batista Dos Santos;0;1;0;0;1;0;0;0;0;4;0;0;2007
168;Patricia Araujo de Abreu Cara;0;0;0;0;0;0;0;0;0;0;0;0;2006
169;Diogenes Costa Silveira;0;0;0;0;0;0;0;0;0;0;0;0;0
170;Katia Maria Mendes Silva;0;0;0;0;0;0;0;0;0;0;0;0;0
171;Eurivalda Ribeiro Dos Santos Santana;3;5;4;2;6;1;0;3;0;15;0;0;2010
172;Angela Cristina Fagundes Goes;0;0;0;0;0;0;0;0;0;0;0;0;0
173;Ione Barbosa De Oliveira Silva;1;0;0;0;0;0;0;0;0;0;0;0;0
174;Karen Vieira Ramos;0;0;0;0;0;0;1;0;0;0;0;0;0
175;Nancy Rita Sento Sé De Assis;0;2;0;0;0;0;0;0;0;4;0;0;2006
176;Cristiano Tagliaferre;1;0;1;1;1;2;1;1;0;16;0;0;2006
177;Joaquim Pedro Soares Neto;0;1;0;0;0;1;0;5;0;0;0;0;2005
178;Thiago Pires Santana;0;1;0;0;2;0;1;0;0;0;0;0;0
179;Joselita Cardoso De Souza;0;0;0;0;0;0;0;0;0;0;0;0;2000
180;Juciana Santos Cerqueira;0;0;0;0;0;0;0;0;0;0;0;0;0
181;Silvana Silva de Farias Araujo;0;1;8;1;1;0;2;0;1;11;0;0;2014
182;Adriana Braitt Lima;1;0;0;0;4;2;0;0;0;0;0;0;2016
183;Jornandes Jesús Correia;0;0;0;0;2;0;0;3;0;0;0;0;1999
184;Dalva Monalysa Da Silva Santos;0;0;0;0;0;0;0;0;0;0;0;0;0
185;Margarete De Souza Conrado;0;0;0;0;0;0;0;0;0;0;0;0;2013
186;Natiane Carvalho Silva;0;0;0;0;0;0;0;0;0;0;0;0;0
187;Fabrícia Calheira Primo Paiva;0;0;0;0;0;0;0;0;0;0;0;0;0
188;Edson Do Espirito Santo Filho;0;1;0;0;0;0;0;0;0;0;0;0;0
189;Gracielia Novaes Da Penha;0;0;0;0;0;0;0;0;0;0;0;0;0
190;Riseuda Pereira De Sousa;0;0;0;0;0;0;0;0;0;0;0;0;2012
191;Camillo Baptista Oliveira Cavalcanti;0;0;0;0;0;0;0;0;0;0;0;0;2007
192;Cláudio Bispo de Almeida;0;1;1;2;13;5;3;2;0;0;0;0;2021
193;Vanêssa Brito Fernandes Neves;0;0;0;0;0;0;0;0;0;0;0;0;2022
194;Tânia Regina Braga Torreão Sá;0;1;0;1;0;0;1;0;0;0;0;0;2016
195;João Santana Gomes Melo;0;0;0;0;0;0;0;0;0;0;0;0;0
196;Jorge Onodera;0;0;1;0;0;0;1;0;0;0;0;0;2020
197;Michelle Araújo Moreira;0;0;0;1;10;1;2;0;0;3;0;0;2011
198;Antonio Muniz Dos Santos Filho;0;1;1;0;0;0;0;0;0;0;0;0;2021
199;Silvana Maria Santos Pataro;0;0;0;0;0;0;0;0;0;0;0;0;0
200;Paulo Carvalho Tobias Duarte;1;0;0;0;0;0;0;0;0;0;0;0;2013
201;Ana Júlia Tavares Staudt;0;0;0;0;0;0;0;0;0;0;0;0;0
202;Marly Fernandes Araújo Carvalho;0;0;0;0;0;0;0;0;0;0;0;0;2001
203;Marcos Aurélio Dos Santos Souza;0;0;0;1;0;1;1;0;0;8;0;0;2010
204;Jurgen Alves De Souza;0;0;0;0;0;3;0;0;0;0;0;0;2017
205;Lucélia Alves Magalhaes;0;0;0;0;0;0;0;0;0;0;0;0;0
206;Flávio Pietrobon Costa;0;0;0;0;0;0;0;0;0;6;8;0;2009
207;Paulo Gilberto Bertoni;0;0;0;0;0;0;0;0;0;0;0;0;2010
208;Adalberto Brito de Novaes;0;0;0;0;1;3;0;0;2;10;0;0;1998
209;Lidiane Santos De Lima Pinheiro;0;0;1;1;0;0;1;1;0;1;0;0;2012
210;Henri Michel Pierre Plana;17;0;0;0;0;0;0;0;0;3;0;0;1996
211;Luis Jesuino De Oliveira Andrade;2;0;1;4;0;6;0;0;0;4;0;0;2010
212;Bruno Barbosa Heim;0;0;0;0;0;0;0;0;0;0;0;0;0
213;Sheila Cristina Furtado Sales;0;0;0;0;0;0;0;0;0;5;0;0;2008
214;Eudes Diônatas Silva Souza;0;0;0;0;0;0;1;0;0;0;0;1;0
215;Janisete Gomes Da Silva Miller;2;1;1;1;0;2;0;1;7;7;0;0;1996
216;Miguel Arcanjo Porto Da Cunha;0;0;0;0;0;0;0;0;0;0;0;0;0
217;Jaíra De Souza Gomes Bispo;0;0;0;0;0;0;2;0;0;0;0;0;0
218;Adeilda Ana Da Silva Martins;0;0;0;0;0;1;0;0;0;0;0;0;0
219;Murilo Marques Scaldaferri;0;0;0;0;0;0;0;1;0;0;0;0;2022
220;Marcio Costa de Souza;4;0;1;3;16;13;8;0;0;11;0;0;2019
221;Regiane Cristina Duarte;0;0;1;0;0;0;0;0;0;0;0;0;2014
222;Matheus Silveira Lima;0;0;0;1;0;0;0;0;0;0;0;0;2011
223;Cosme Wilson Ferreira De Carvalho;0;0;0;0;0;0;0;0;0;0;0;0;0
224;Maria Sigmar Coutinho Passos;0;0;0;0;0;0;0;0;0;0;0;0;2017
225;Flávia Almeida Pita;0;0;0;1;1;0;0;2;0;0;0;0;2020
226;Luis Nieto González;0;0;0;0;0;0;0;1;0;0;0;0;2007
227;Emerson Tadeu Cotrim Assunção;0;0;0;2;1;0;0;0;0;0;0;0;0
228;Silvia Regina Seixas Sacramento;0;0;0;0;0;0;0;0;0;0;0;0;2016
229;Nila Mara Smith Galvão;0;0;0;0;0;0;0;0;0;0;0;0;2021
230;Aurilene Rodrigues Lima;0;0;0;0;0;0;0;0;0;0;0;0;2020
231;Soraia Oliveira Da Cunha Silva;0;0;0;0;0;0;0;0;0;0;0;0;0
232;Adriano Antônio Lima Menezes;0;0;0;0;0;0;0;0;0;0;0;0;2020
233;Pedro Augusto Lopes Sabino;0;0;0;0;0;0;0;0;0;0;0;0;2019
234;Joslei Viana De Souza;1;0;1;0;5;2;0;0;0;0;0;0;2008
235;Zoraya Maria De Oliveira Marques;0;0;0;0;0;0;0;0;0;0;0;0;2006
236;Danton De Oliveira Freitas;0;0;0;0;0;0;0;0;0;0;0;0;2021
237;Jeronimo Jorge Cavalcante Silva;0;0;0;0;0;0;0;0;0;13;0;0;2004
238;Emile Assis Miranda Oliveira;0;1;0;0;0;0;0;0;0;0;0;0;0
239;Gibran Ribeiro Da Rocha;0;0;0;0;0;0;0;0;0;0;0;0;0
240;Juliana Stracieri;1;0;0;1;3;1;0;1;0;2;0;0;2015
241;Vera Lucia Lima Carvalho;0;0;0;0;0;0;0;0;0;0;0;0;2017
242;Priscila Peixinho Fiorindo;0;0;0;0;0;0;0;0;0;15;0;0;2009
243;Amelia Tereza Santa Rosa Maraux;0;0;0;0;0;0;0;0;0;0;0;0;2021
244;James Amorim Araújo;2;0;0;0;1;2;1;0;0;0;0;0;2010
245;Marcelo Schramm Mielke;2;6;3;2;3;4;1;1;8;17;0;1;1997
246;Siomara Castro Nery;0;0;0;0;0;0;0;0;0;0;0;0;0
247;Renata D Arc Scarpel;1;0;1;0;2;0;0;0;0;0;0;0;2018
248;Ludmila Scarano Barros Coimbra;0;0;0;0;0;1;0;0;0;0;0;0;2018
249;Lauricio Alves Carvalho Pedrosa;0;0;0;2;1;0;0;0;0;0;0;0;2016
250;Erica Cristina Almeida;0;1;0;0;1;0;2;0;0;5;0;0;2006
251;Eduardo Silva Palmeira;3;0;0;0;0;0;0;0;3;15;0;0;2013
252;Alex Sandro Beckhauser;0;1;1;1;1;0;1;0;0;0;0;0;2021
253;Carlos Alberto Pereira Silva;0;0;0;0;1;0;0;0;0;0;0;0;2009
254;Cleide De Lima Chaves;0;0;0;0;0;0;0;0;0;5;0;0;2009
255;Alessandro Rapini;1;2;3;2;1;0;1;0;0;0;0;0;2000
256;Luciano Marques dos Santos;0;2;3;14;19;8;1;0;0;1;0;0;2021
257;Pricilla De Souza Andrade;0;0;0;0;1;1;0;0;0;0;0;0;0
258;Alayde Ferreira Dos Santos;1;0;0;0;0;0;1;0;0;0;0;0;2021
259;Nicole Ribeiro Da Silva Santos;0;1;0;0;0;0;0;0;0;0;0;0;2009
260;Ricardo Landim Bormann De Borges;0;0;0;1;0;0;0;0;0;1;0;0;2013
261;Paulo Sérgio Dantas Vasconcelos;0;1;0;0;0;0;0;0;0;1;0;0;2011
262;Alessandra Alexandre Freixo;3;1;2;0;2;0;0;1;0;0;0;0;2010
263;Juliana Da Silveira Pinheiro;0;2;1;0;0;0;0;0;0;0;0;0;2012
264;Juliana Viana Freitas;0;0;0;0;0;0;0;0;0;0;0;0;2019
265;Maria Luiza Silva Santos;0;0;0;0;0;0;0;1;0;0;0;0;2013
266;Ana Mayra Andrade De Oliveira;0;0;0;0;1;1;0;0;0;0;0;0;2007
267;Francely Da Silva Oliveira;0;0;0;0;0;0;0;0;0;0;0;0;0
268;Amin Seba Taissun;0;0;0;0;0;0;0;0;0;0;0;0;0
269;Tereza Simonne Mascarenhas Santos;0;2;1;0;0;0;0;0;0;0;0;0;2004
270;Enny Vieira Moraes;0;0;0;0;0;0;0;0;0;0;0;0;2012
271;Walter Duarte De Araujo Filho;0;0;0;0;0;0;0;0;0;0;0;0;2013
272;Roberto Roque Lauxen;0;1;0;2;0;0;0;0;0;0;0;0;2012
273;Milleno Dantas Mota;1;0;0;1;1;1;1;2;0;2;9;0;2020
274;Ana Cristina De Mendonça Santos;0;0;0;0;0;0;7;0;0;1;0;0;2018
275;Airton Pereira Pinto;0;0;0;0;0;0;0;0;0;0;0;0;2003
276;Carlos Augusto Magalhães;0;0;0;1;0;0;0;0;0;11;0;0;2003
277;Eduardo José Fernandes Nunes;1;0;1;1;0;0;0;0;5;7;0;1;2002
278;Jany Rodrigues Prado;0;0;2;0;0;2;1;0;0;0;0;0;0
279;Márcia Maria Da Silva Barreiros;0;0;0;0;0;0;0;0;0;0;0;0;2004
280;Maria Luiza Coelho Santos Carvalho;0;0;0;0;0;0;0;0;0;0;0;0;0
281;Ricardo Tupiniquim Ramos;0;0;0;0;2;0;0;0;0;0;0;0;2008
282;José Cláudio Rocha;0;0;1;2;4;2;4;1;6;23;0;1;2006
283;César Pimentel Figueirêdo Primo;0;0;0;0;0;0;0;0;0;0;0;0;2009
284;Ana Rosa Peixoto;1;1;2;1;0;3;0;2;5;10;0;0;2005
285;Ivo Fernandes Gomes;0;0;0;0;0;0;0;0;0;0;0;3;2021
286;Miguel Almir Lima De Araújo;0;0;0;0;0;0;1;0;0;0;0;0;2006
287;Raimundo Bonfim Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;2001
288;Cacia Cristina França Rehem;0;0;0;0;0;0;0;0;0;0;0;0;2018
289;Maurício Beck;1;0;0;1;1;0;1;0;1;11;0;0;2010
290;Hector Luiz Rodrigues Munaro;0;0;0;0;5;1;0;0;0;0;0;0;2016
291;José de Bessa Júnior;7;8;10;26;5;0;1;0;6;6;0;0;2007
292;Anaildes Lago De Carvalho;1;0;1;0;1;0;0;0;0;2;0;0;2014
293;Carla Fernanda Fávaro;0;2;0;0;0;0;0;0;3;6;2;0;2012
294;Rodrigo Lima Carneiro;0;0;1;0;0;0;0;0;0;0;3;0;2016
295;Kathia Marise Borges Sales;0;2;3;6;2;1;1;0;0;22;0;0;2013
296;Ana Carla Percontini Da Paixão;0;0;1;0;0;0;0;0;0;0;0;0;2014
297;Eugenia Mateus De Souza;0;0;0;0;0;0;0;0;0;0;0;0;0
298;Walter Fagundes Morales;0;0;0;0;1;0;0;1;0;6;0;0;2005
299;Cleber Nogueira Aleluia De Souza;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Raquel Cruz Freire Rodrigues;0;0;0;0;0;2;0;0;0;0;0;0;2014
301;Livia Maria Goes De Britto;0;0;0;0;0;0;0;0;0;0;0;0;2018
302;Nestor Felipe Castaneda Centurion;0;1;0;0;0;0;0;0;0;12;0;0;2015
303;Alinne Alves Oliveira;1;2;1;0;3;3;0;1;0;0;0;2;2023
304;Paulo Andre Sperandio Giacomin;1;0;0;0;0;0;0;0;0;0;0;0;2015
305;Josemar Rodrigues De Souza;0;1;0;0;0;0;0;1;2;2;0;0;2006
306;Suzana Alves Nogueira;0;1;0;0;3;2;1;0;0;0;0;0;2015
307;Antonio de Santana Santos;0;2;0;0;1;1;0;0;1;9;1;1;2003
308;Telma Maria Sousa Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;2006
309;Suênio Campos De Lucena;0;0;0;0;0;1;1;0;0;2;0;0;2008
310;Pedro Daniel Dos Santos Souza;2;0;5;2;1;0;2;0;0;1;0;0;2019
311;Raphael Ferreira Queiroz;4;3;4;0;0;0;0;0;1;8;0;0;2012
312;João Batista de Cerqueira;0;0;0;0;0;0;0;0;0;0;0;0;2015
313;Maria Herbênia Lima Cruz Santos;0;1;2;4;2;0;0;2;0;5;0;0;2007
314;Célia Barros Nunes;0;1;1;0;4;0;0;0;0;0;0;0;2010
